 ,Area,Mean,Min,Max,Angle,Length
1,0.459,131.732,83.667,197.778,-42.274,3.616
2,0.577,156.692,8.667,251.557,23.199,4.631
3,0.444,169.591,77.908,243.333,95.906,3.546
4,0.666,144.198,5.667,244.000,-17.199,5.347
5,0.518,158.362,83.000,241.161,110.556,4.157
6,0.547,127.210,21.162,238.333,-65.556,4.409
7,0.459,148.274,19.360,246.833,-113.962,3.594
8,0.518,169.335,2.000,247.451,-174.958,4.151
9,0.414,205.560,51.000,251.000,90.000,3.284
10,0.503,198.737,36.000,250.333,160.463,4.001
11,0.577,226.496,120.320,250.440,65.433,4.681
12,0.518,153.685,37.735,249.059,178.315,4.137
13,0.666,198.974,115.175,247.148,45.000,5.332
14,0.562,204.311,106.494,247.333,141.582,4.502
15,0.325,190.342,67.084,250.664,-165.964,2.507
16,0.429,146.789,53.088,246.905,16.504,3.425
17,0.518,124.667,10.314,219.686,-83.290,4.164
18,0.547,125.840,5.117,246.667,-11.310,4.341
19,0.503,196.104,14.000,249.167,154.983,4.027
20,0.385,159.019,48.560,244.044,71.565,3.077
21,0.562,58.432,7.729,141.831,122.829,4.487
22,0.518,140.352,8.333,238.667,-90.000,4.135
23,0.429,113.835,7.333,247.143,96.116,3.425
24,0.488,218.787,95.792,249.167,-171.119,3.939
25,0.488,153.920,72.750,249.000,97.125,3.922
26,0.518,211.135,157.300,249.828,-78.024,4.103
27,0.518,175.229,50.000,249.791,-110.556,4.157
28,0.503,140.788,62.667,252.000,54.866,4.016
29,0.473,123.942,5.161,239.978,1.848,3.772
30,0.340,191.890,103.667,244.096,69.146,2.733
31,0.547,186.131,4.000,251.333,129.401,4.407
32,0.533,194.647,89.000,245.007,61.260,4.300
33,0.562,204.019,39.333,247.770,-150.642,4.466
34,0.518,220.939,148.069,247.961,-95.042,4.151
35,0.355,165.208,28.333,252.000,-90.000,2.797
36,0.473,181.321,103.378,249.817,128.367,3.723
37,0.429,143.247,26.000,252.667,73.496,3.425
38,0.429,172.813,23.133,247.895,122.005,3.442
39,0.592,189.318,6.333,249.705,101.889,4.723
40,0.533,186.416,55.000,249.398,71.565,4.231
41,0.533,111.163,3.333,246.143,-1.637,4.259
42,0.518,116.983,38.933,250.070,26.565,4.079
43,0.533,159.553,47.250,245.019,101.634,4.222
44,0.577,128.119,38.965,228.263,97.496,4.662
45,0.429,77.902,5.333,186.524,87.955,3.408
46,0.473,191.219,81.000,246.474,63.435,3.807
47,0.488,130.372,6.729,244.630,133.727,3.871
48,0.385,76.859,7.881,249.152,71.565,3.077
49,0.414,137.964,7.333,245.531,-10.491,3.340
50,0.607,193.550,2.667,249.400,95.711,4.889
51,0.503,94.195,13.667,154.909,93.468,4.021
52,0.547,158.317,77.333,246.658,31.504,4.422
53,0.488,164.761,14.917,241.667,97.125,3.922
54,0.488,231.427,76.000,251.609,163.811,3.926
55,0.547,168.764,26.148,248.298,170.272,4.319
56,0.473,185.103,99.788,252.028,104.931,3.776
57,0.429,135.897,10.333,247.000,81.870,3.440
58,0.533,165.286,34.333,250.333,-47.291,4.304
59,0.651,176.911,75.670,244.872,161.147,5.269
60,0.473,110.926,22.226,240.527,-91.848,3.772
61,0.459,95.326,7.000,230.111,66.801,3.705
62,0.444,110.780,24.994,200.366,-35.311,3.577
63,0.429,210.351,102.099,251.333,160.907,3.346
64,0.680,205.020,2.553,252.055,164.407,5.430
65,0.562,175.679,91.921,244.000,108.925,4.500
66,0.503,157.387,18.470,249.889,156.571,3.977
67,0.518,205.143,77.333,252.000,153.435,4.079
68,0.429,102.862,5.000,248.333,-90.000,3.406
69,0.473,168.640,5.710,251.000,172.648,3.802
70,0.385,220.153,173.799,248.852,33.690,3.070
71,0.533,69.507,1.000,243.947,126.870,4.257
72,0.355,214.220,37.333,249.986,94.970,2.808
73,0.266,153.382,77.333,242.333,144.462,2.093
74,0.340,132.835,36.333,244.000,-63.435,2.720
75,0.399,158.479,9.451,248.689,133.452,3.183
76,0.518,152.009,63.930,245.782,151.928,4.135
77,0.459,201.499,17.804,251.387,156.801,3.705
78,0.488,222.983,3.333,250.349,104.470,3.894
79,0.473,194.525,108.610,251.341,39.806,3.800
80,0.370,137.772,55.250,242.667,138.366,2.929
81,0.547,198.510,82.778,248.358,56.310,4.385
82,0.488,178.688,56.333,240.904,123.690,3.947
83,0.385,160.682,13.333,249.308,130.101,3.021
84,0.473,151.307,34.667,230.483,135.000,3.784
85,0.547,169.650,22.037,237.278,149.859,4.360
86,0.340,216.445,147.543,247.667,125.838,2.701
87,0.592,189.244,14.444,250.572,64.093,4.732
88,0.414,188.702,87.667,239.049,126.027,3.309
89,0.518,189.242,116.736,249.243,74.745,4.160
90,0.488,215.090,151.688,244.836,57.804,3.881
91,0.621,80.578,8.667,214.667,152.176,4.951
92,0.621,193.557,65.603,247.080,-161.565,5.000
93,0.562,165.732,88.333,245.685,85.365,4.515
94,0.680,130.271,10.000,238.464,80.961,5.419
95,0.651,157.660,46.651,243.535,123.690,5.262
96,0.680,175.008,70.000,246.212,99.039,5.419
97,0.607,135.127,35.677,243.785,106.144,4.812
98,0.592,159.626,77.264,246.755,107.969,4.731
99,0.607,196.966,13.843,250.980,110.225,4.925
100,0.325,137.606,54.429,236.395,165.964,2.507
