 ,Area,Mean,Min,Max,Angle,Length
1,1.925,38.375,19.477,67.641,113.429,11.168
2,1.283,52.602,28.767,123.030,-56.310,7.389
3,1.371,52.021,19.423,110.628,122.661,7.912
4,1.633,55.429,19.918,138.333,-40.601,9.447
5,1.633,42.895,23.587,96.333,140.194,9.337
6,1.838,70.208,27.667,131.665,75.964,10.562
7,1.633,46.264,21.015,84.659,47.936,9.432
8,1.517,53.117,34.448,102.667,-72.979,8.752
9,1.371,29.818,18.615,70.333,-53.881,7.823
10,1.575,26.653,13.000,36.296,-85.684,9.077
11,1.342,44.567,23.653,96.667,108.034,7.723
12,1.313,28.899,3.816,59.155,37.648,7.549
13,1.779,26.607,8.296,94.617,-172.278,10.168
14,1.546,47.498,17.128,100.980,-166.759,8.948
15,1.808,39.598,10.995,140.000,93.752,10.440
16,1.138,46.533,27.855,68.910,-49.236,6.539
17,1.896,41.579,9.333,143.333,90.000,10.930
18,1.488,31.363,9.558,67.839,33.690,8.621
19,1.692,25.853,1.705,62.296,-65.225,9.781
20,1.400,38.391,16.062,68.465,-126.384,8.061
21,1.488,28.733,13.063,43.000,-56.310,8.621
22,0.963,56.938,14.156,105.833,-48.814,5.446
23,1.663,42.560,13.117,101.333,154.799,9.626
24,1.371,42.366,21.304,87.029,86.269,7.873
25,1.692,55.547,24.305,150.667,65.225,9.781
26,1.517,40.732,15.464,60.627,87.754,8.717
27,1.313,27.097,14.413,113.000,-48.691,7.503
28,1.371,48.506,22.144,80.364,-37.875,7.789
29,1.371,51.167,11.275,166.362,1.245,7.858
30,1.575,28.620,12.597,46.072,101.944,9.077
31,2.158,73.387,34.921,177.342,75.018,12.552
32,1.604,57.738,23.000,166.679,-45.000,9.178
33,1.400,104.207,28.086,194.536,32.005,8.056
34,1.925,46.093,21.525,99.333,98.005,11.038
35,1.400,48.363,19.141,96.667,-24.944,8.099
36,1.663,68.358,44.633,113.303,163.496,9.619
37,1.925,51.111,34.284,112.000,-78.518,11.153
38,1.517,55.159,23.326,216.375,-11.310,8.708
39,2.100,36.509,9.826,84.728,92.420,12.137
40,1.167,48.001,17.051,83.872,88.531,6.663
41,1.575,37.475,16.145,142.333,-175.684,9.077
42,1.808,83.047,32.728,137.865,-70.974,10.478
43,1.400,48.207,25.256,87.856,36.384,8.061
44,1.663,44.366,16.816,81.000,-52.306,9.497
45,1.371,42.642,21.178,80.292,-121.608,7.821
46,1.342,42.294,20.305,103.333,169.695,7.638
47,1.750,37.015,16.389,93.523,36.098,10.146
48,1.167,47.237,25.064,83.067,50.194,6.669
49,2.129,39.470,19.731,94.333,103.650,12.302
50,1.517,43.667,12.686,135.719,87.754,8.717
51,1.429,37.112,20.875,96.667,139.268,8.114
52,2.013,40.483,18.000,84.333,97.651,11.545
53,2.042,62.520,27.521,136.894,81.634,11.738
54,1.808,38.458,14.771,142.386,71.862,10.423
55,1.517,59.323,21.354,117.029,-126.193,8.676
56,1.400,49.438,14.333,89.000,-90.000,8.027
57,1.429,45.435,19.833,127.000,112.249,8.119
58,1.313,54.349,20.106,150.727,86.100,7.532
59,1.779,55.156,14.303,116.693,140.440,10.190
60,1.488,36.432,19.902,63.508,110.956,8.595
61,1.575,82.407,19.029,196.142,-68.806,8.976
62,1.313,61.889,15.999,122.025,101.821,7.503
63,1.808,26.993,7.733,46.454,149.199,10.339
64,1.721,53.456,17.344,90.870,-71.878,9.883
65,1.400,41.169,20.417,86.270,101.070,8.005
66,1.779,60.679,22.978,227.050,19.335,10.317
67,1.808,47.414,16.934,157.333,-38.367,10.456
68,1.429,34.837,13.510,121.000,-104.621,8.119
69,1.692,39.679,23.011,94.365,-34.249,9.711
70,1.546,45.194,19.089,121.534,100.008,8.845
71,1.779,40.394,14.333,113.667,-19.335,10.317
72,1.342,77.402,30.267,202.622,-86.186,7.702
73,1.896,53.605,17.861,167.061,-36.158,10.999
74,1.458,43.487,12.808,134.000,-61.858,8.328
75,1.138,41.122,16.973,136.667,122.005,6.445
76,1.663,75.287,17.000,172.333,180.000,9.564
77,1.488,45.684,13.333,69.202,125.272,8.577
78,1.750,38.971,14.250,132.333,107.819,10.046
79,1.575,41.913,10.849,135.000,95.389,9.092
80,1.692,22.858,10.972,84.000,-49.939,9.818
81,1.604,31.354,14.815,70.333,122.229,9.287
82,1.867,56.576,29.635,186.333,101.842,10.819
83,1.488,62.586,19.501,135.835,112.443,8.500
84,1.254,51.242,9.178,102.667,108.004,7.183
85,2.042,48.498,21.853,211.000,128.530,11.789
86,1.458,59.158,24.946,144.667,100.620,8.341
87,1.546,41.787,13.103,152.000,-84.508,8.922
88,1.692,42.918,22.877,123.333,-1.005,9.736
89,1.633,31.969,4.667,79.612,-40.601,9.447
90,1.225,37.696,16.252,77.667,161.565,7.021
91,1.983,36.691,9.333,152.333,-90.000,11.443
92,1.721,87.610,26.732,158.983,-151.232,9.936
93,1.604,69.714,26.876,181.333,79.315,9.211
94,1.604,86.440,5.937,184.934,167.242,9.281
95,1.867,44.310,12.603,144.333,144.039,10.761
96,1.633,44.269,21.053,146.000,-27.951,9.474
97,1.546,77.307,27.436,234.474,87.797,8.887
98,1.779,45.581,14.000,100.022,-179.045,10.248
99,1.692,39.055,14.825,123.667,-97.001,9.808
100,1.371,38.226,6.333,110.624,13.736,7.912
