 ,Area,Mean,Min,Max,Angle,Length
1,0.520,147.184,0.818,241.621,-7.765,4.775
2,0.451,174.695,46.059,247.987,156.801,4.095
3,0.601,93.615,9.667,247.333,-90.000,5.484
4,0.532,162.515,59.663,230.203,134.091,4.791
5,0.474,139.602,29.333,241.333,-90.000,4.301
6,0.428,66.410,1.868,158.000,-105.945,3.914
7,0.462,100.589,27.436,230.308,81.254,4.243
8,0.486,161.319,30.106,245.366,-81.674,4.456
9,0.451,84.812,11.333,173.334,10.713,4.049
10,0.358,121.649,62.031,170.173,-107.241,3.265
11,0.462,112.405,2.333,176.868,-133.958,4.183
12,0.486,119.946,44.845,239.283,-99.926,4.366
13,0.509,107.254,4.000,215.016,-93.991,4.635
14,0.405,190.943,109.667,247.667,180.000,3.656
15,0.509,131.427,6.667,247.488,23.025,4.673
16,0.532,145.485,66.128,225.467,140.356,4.887
17,0.509,88.090,6.000,193.588,-42.184,4.644
18,0.405,151.247,44.063,235.448,-45.000,3.650
19,0.451,101.153,49.999,179.000,-103.671,4.095
20,0.428,124.361,50.605,241.700,153.435,3.847
21,0.497,169.355,8.333,247.816,16.699,4.490
22,0.382,91.668,29.375,177.333,-176.424,3.448
23,0.335,46.135,15.313,69.667,163.496,3.028
24,0.428,116.634,4.667,206.037,37.185,3.914
25,0.567,90.779,2.912,176.000,118.706,5.149
26,0.474,172.974,10.667,250.167,-119.745,4.335
27,0.439,102.705,25.989,211.863,-141.582,3.980
28,0.301,102.527,4.000,208.000,-161.565,2.720
29,0.486,76.555,18.935,198.301,98.326,4.456
30,0.428,113.674,38.333,241.889,93.180,3.877
31,0.509,110.980,34.550,203.225,-84.685,4.644
32,0.428,154.221,28.630,241.667,-70.560,3.877
33,0.474,127.188,31.667,242.360,126.870,4.301
34,0.439,194.450,116.344,237.217,141.582,3.980
35,0.578,187.764,15.000,249.435,132.510,5.251
36,0.416,179.787,56.000,245.000,180.000,3.763
37,0.428,178.388,19.519,250.292,114.444,3.898
38,0.520,151.866,5.656,244.500,-117.150,4.713
39,0.509,122.126,15.667,240.229,140.711,4.585
40,0.520,205.921,70.335,246.875,103.092,4.747
41,0.428,161.647,20.000,245.790,31.504,3.910
42,0.532,126.330,35.493,221.027,36.870,4.839
43,0.601,97.968,11.408,249.128,-60.945,5.535
44,0.416,188.575,95.453,243.867,133.831,3.726
45,0.439,79.636,11.811,237.000,36.254,4.000
46,0.358,172.096,30.667,245.053,-78.311,3.184
47,0.358,181.262,64.022,243.267,1.909,3.228
48,0.405,122.427,55.000,197.150,-110.556,3.675
49,0.543,157.578,10.261,248.087,4.970,4.965
50,0.358,183.624,118.937,233.404,76.430,3.208
51,0.439,185.374,52.667,246.820,-176.906,3.984
52,0.439,168.911,65.333,243.546,-147.171,3.967
53,0.486,139.848,3.324,245.507,36.027,4.388
54,0.555,186.180,3.000,249.011,152.354,5.098
55,0.428,177.305,67.111,239.833,-109.440,3.877
56,0.382,99.628,36.365,184.542,-111.801,3.474
57,0.462,159.453,50.667,247.710,-163.443,4.151
58,0.405,98.892,13.955,247.667,35.538,3.700
59,0.428,155.617,2.556,246.583,175.236,3.884
60,0.428,193.387,88.147,245.247,-46.123,3.878
61,0.486,118.735,5.333,244.835,39.094,4.433
62,0.393,176.658,70.068,246.141,-135.000,3.498
63,0.439,125.939,35.315,246.505,9.211,4.030
64,0.428,86.419,8.556,184.000,9.462,3.924
65,0.393,87.103,20.778,156.982,-169.380,3.501
66,0.405,178.544,47.000,240.505,139.764,3.662
67,0.520,148.638,56.165,239.046,121.866,4.685
68,0.428,119.482,22.333,243.778,114.444,3.898
69,0.382,124.103,70.342,231.516,128.660,3.443
70,0.439,174.432,8.387,247.306,1.548,3.980
71,0.358,113.111,16.133,230.048,-122.619,3.192
72,0.532,74.398,0.000,162.821,-24.864,4.859
73,0.439,100.583,16.200,208.129,124.114,4.026
74,0.532,220.434,10.000,250.333,63.435,4.809
75,0.532,168.368,0.333,252.653,-9.039,4.791
76,0.335,163.420,80.648,239.167,-43.531,2.966
77,0.474,110.518,27.333,236.333,-60.255,4.335
78,0.405,73.896,8.000,146.000,118.072,3.656
79,0.451,146.359,33.699,247.283,-123.275,4.116
80,0.462,172.275,8.333,247.667,0.000,4.194
81,0.520,196.078,96.939,242.545,-87.397,4.736
82,0.439,218.278,110.667,246.508,55.008,3.938
83,0.555,127.514,17.538,248.000,-30.964,5.016
84,0.555,173.373,58.667,246.518,-167.735,5.062
85,0.451,211.871,125.966,249.530,57.995,4.058
86,0.428,138.810,5.333,241.786,-153.435,3.847
87,0.451,181.843,67.095,253.333,-41.760,4.036
88,0.393,147.721,26.148,229.487,-118.887,3.561
89,0.370,193.579,69.333,244.664,-140.194,3.359
90,0.520,151.588,75.091,211.636,120.069,4.721
91,0.509,86.355,21.194,195.886,35.538,4.625
92,0.509,162.199,5.000,247.068,-135.939,4.639
93,0.462,188.749,120.667,241.000,-78.111,4.176
94,0.486,131.041,1.000,222.522,136.975,4.413
95,0.497,166.865,13.000,247.619,120.256,4.481
96,0.497,214.310,127.068,247.773,-115.346,4.521
97,0.509,158.793,93.365,248.036,-47.816,4.644
98,0.497,64.501,19.667,116.000,59.744,4.481
99,0.509,189.372,105.718,251.110,146.310,4.652
100,0.439,148.228,78.161,241.701,101.004,3.943
